Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,66,66,40
0,0,0,0,0,1,1,66,66,40
0,0,0,0,1,0,1,66,66,40
0,0,0,0,1,1,1,66,66,40
0,0,0,1,0,0,1,66,66,40
0,0,0,1,0,1,1,66,66,40
0,0,0,1,1,0,1,66,66,40
0,0,0,1,1,1,1,66,66,40
0,0,1,0,0,0,1,66,66,40
0,0,1,0,0,1,1,66,66,40
0,0,1,0,1,0,1,66,66,40
0,0,1,0,1,1,1,66,66,40
0,0,1,1,0,0,1,66,66,40
0,0,1,1,0,1,1,66,66,40
0,0,1,1,1,0,1,66,66,40
0,0,1,1,1,1,1,66,66,40
0,1,0,0,0,0,1,66,66,40
0,1,0,0,0,1,1,66,66,40
0,1,0,0,1,0,1,66,66,40
0,1,0,0,1,1,1,66,66,40
0,1,0,1,0,0,1,66,66,40
0,1,0,1,0,1,1,66,66,40
0,1,0,1,1,0,1,66,66,40
0,1,0,1,1,1,1,66,66,40
0,1,1,0,0,0,1,66,66,40
0,1,1,0,0,1,1,66,66,40
0,1,1,0,1,0,1,66,66,40
0,1,1,0,1,1,1,66,66,40
0,1,1,1,0,0,1,66,66,40
0,1,1,1,0,1,1,66,66,40
0,1,1,1,1,0,1,66,66,40
0,1,1,1,1,1,1,66,66,40
1,0,0,0,0,0,-1,66,66,40
1,0,0,0,0,1,-1,66,66,40
1,0,0,0,1,0,-1,66,66,40
1,0,0,0,1,1,-1,66,66,40
1,0,0,1,0,0,-1,66,66,40
1,0,0,1,0,1,-1,66,66,40
1,0,0,1,1,0,-1,66,66,40
1,0,0,1,1,1,-1,66,66,40
1,0,1,0,0,0,-1,66,66,40
1,0,1,0,0,1,-1,66,66,40
1,0,1,0,1,0,-1,66,66,40
1,0,1,0,1,1,-1,66,66,40
1,0,1,1,0,0,-1,66,66,40
1,0,1,1,0,1,-1,66,66,40
1,0,1,1,1,0,-1,66,66,40
1,0,1,1,1,1,-1,66,66,40
1,1,0,0,0,0,-1,66,66,40
1,1,0,0,0,1,-1,66,66,40
1,1,0,0,1,0,-1,66,66,40
1,1,0,0,1,1,-1,66,66,40
1,1,0,1,0,0,-1,66,66,40
1,1,0,1,0,1,-1,66,66,40
1,1,0,1,1,0,-1,66,66,40
1,1,0,1,1,1,-1,66,66,40
1,1,1,0,0,0,-1,66,66,40
1,1,1,0,0,1,-1,66,66,40
1,1,1,0,1,0,-1,66,66,40
1,1,1,0,1,1,-1,66,66,40
1,1,1,1,0,0,-1,66,66,40
1,1,1,1,0,1,-1,66,66,40
1,1,1,1,1,0,-1,66,66,40
1,1,1,1,1,1,-1,66,66,40
0,-1,-1,-1,-1,-1,0,76,76,40
